"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","stim","outcome"
"1000","0","html-button-response","0","1004","0.0-0.0","",""
"1550","j","html-keyboard-response","1","2557","0.0-1.0-0.0","-18","1"
"363","j","html-keyboard-response","2","2931","0.0-1.1-0.1","-8","1"
"1553","f","html-keyboard-response","3","4493","0.0-1.2-0.2","-4","2"
"369","f","html-keyboard-response","4","4873","0.0-1.3-0.3","-4","2"
"840","j","html-keyboard-response","5","5722","0.0-1.4-0.4","-5","1"
"335","f","html-keyboard-response","6","6068","0.0-1.5-0.5","-3","2"
"334","j","html-keyboard-response","7","6411","0.0-1.6-0.6","-3","1"
"316","f","html-keyboard-response","8","6738","0.0-1.7-0.7","-2","2"
"244","j","html-keyboard-response","9","6993","0.0-1.8-0.8","-2","1"
"313","f","html-keyboard-response","10","7316","0.0-1.9-0.9","-1","2"
"1667","0","html-button-response","11","8997","0.0-2.0","",""
