"date","rt","trial_type","trial_index","time_elapsed","internal_node_id","key_press","button_pressed","success","response","ID","appName","vendor","platform","userAgent","platform_name","platform_version","platform_layout","architecture","family","os_version","os","description","product","update_time","getStimParams_time","threshold","ex1_threshold","ex2_threshold","ex2_slope","ex2_lapse","ex4_threshold","ex4_c0","ex4_cf","ex5_threshold","ex5_c0","ex5_cf","ex5_cw","ex1_nAlerts","ex2_nAlerts","ex4_nAlerts","ex5_nAlerts","Trial","init_time","samples"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","1","3103","0.0-1.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.60000000055879","0.099999999627471",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","1","4.2999999998137","3362"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","2","3206","0.0-2.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.39999999944121","0",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","2","4.2999999998137","3362"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","3","3313","0.0-3.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.5","0",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","3","4.2999999998137","3362"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","4","3414","0.0-4.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.29999999981374","0",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","4","4.2999999998137","3362"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","5","3517","0.0-5.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.39999999944121","0",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","5","4.2999999998137","3362"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","6","3621","0.0-6.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.5","0",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","6","4.2999999998137","3362"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","7","3728","0.0-7.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.40000000037253","0",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","7","4.2999999998137","3362"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","8","3833","0.0-8.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.29999999981374","0",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","8","4.2999999998137","3362"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","9","3934","0.0-9.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.29999999981374","0.099999999627471",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","9","4.2999999998137","3362"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","10","4040","0.0-10.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.40000000037253","0",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","10","4.2999999998137","3362"
"2021-12-06-13:10:08",NULL,"html-keyboard-response","11","4142","0.0-11.0",NULL,NULL,NULL,NULL,"9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink","64","OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit",NULL,"0.40000000037253","0",NULL,"-19","-21","2","0.03","-38","-52","1.2","-40","-50","1.2","1","0","0","0","0","11","4.2999999998137","3362"
