"","date","rt","trial_type","trial_index","time_elapsed","internal_node_id","key_press","button_pressed","success","response","ID","appName","vendor","platform","userAgent","platform_name","platform_version","platform_layout","architecture","family","os_version","os","description","product","update_time","getStimParams_time","threshold","ex1_threshold","ex2_threshold","ex2_slope","ex2_lapse","ex4_threshold","ex4_c0","ex4_cf","ex5_threshold","ex5_c0","ex5_cf","ex5_cw","ex1_nAlerts","ex2_nAlerts","ex4_nAlerts","ex5_nAlerts","Trial","init_time","samples"
"1","2021-12-06-13:10:08","NULL","html-keyboard-response",1,3103,"0.0-1.0","NULL","NULL","NULL","NULL","9ao1hd9y","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink",64,"OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit","NULL",0.60000000055879,0.099999999627471,"NULL",-19,-21,2,0.03,-38,-52,1.2,-40,-50,1.2,1,0,0,0,0,1,4.2999999998137,3362
"193","2021-12-06-13:10:27","NULL","html-keyboard-response",1,4063,"0.0-1.0","NULL","NULL","NULL","NULL","2fuq7utn","Netscape","Google Inc.","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36","Chrome","96.0.4664.45","Blink",64,"Windows","10","Windows 10 64-bit","Chrome 96.0.4664.45 on Windows 10 64-bit","NULL",0.90000009536743,1.0999999046326,"NULL",-19,-20,5,0,-30,-48,1.2,-40,-55,1.4,1.2,0,0,0,0,1,4.1000001430511,3362
"385","2021-12-06-13:11:01","NULL","html-keyboard-response",1,2946,"0.0-1.0","NULL","NULL","NULL","NULL","qdlfb0pc","Netscape","Apple Computer, Inc.","iPhone","Mozilla/5.0 (iPhone; CPU iPhone OS 14_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1","Safari","14.1.2","WebKit",32,"iOS","14.8","iOS 14.8","Safari 14.1.2 on Apple iPhone (iOS 14.8)","iPhone",6,2,"NULL",-21,-19,5,0,-36,-52,1.2,-40,-50,1.2,1,0,0,0,0,1,14,3362
"577","2021-12-06-13:13:53","NULL","html-keyboard-response",1,146162,"0.0-1.0","NULL","NULL","NULL","NULL","t3gyoutt","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink",64,"OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit","NULL",0.5,0.5,"NULL",-18,-20,5,0,-36,-56,1.4,-40,-50,1.2,1,0,0,0,0,1,4,3362
"769","2021-12-06-12:16:28","NULL","html-keyboard-response",1,21035,"0.0-1.0","NULL","NULL","NULL","NULL","arzvphhb","Netscape","Apple Computer, Inc.","iPhone","Mozilla/5.0 (iPhone; CPU iPhone OS 14_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Mobile/15E148 Safari/604.1","Safari","14.1","WebKit",32,"iOS","14.5.1","iOS 14.5.1","Safari 14.1 on Apple iPhone (iOS 14.5.1)","iPhone",3,1,"NULL",-18,-20,5,0,-34,-56,1.2,-40,-50,1.2,1,0,0,0,0,1,16,3362
"961","2021-12-06-13:40:20","NULL","html-keyboard-response",1,6256,"0.0-1.0","NULL","NULL","NULL","NULL","nqjyco3e","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink",64,"OS X","10.15.7","OS X 10.15.7 64-bit","Chrome 96.0.4664.55 on OS X 10.15.7 64-bit","NULL",0.69999980926514,0.80000019073486,"NULL",-20,-22,2,0,-40,-52,1.2,-40,-50,1.2,1,0,0,0,0,1,11.199999809265,3362
"1153","2021-12-06-13:47:06","NULL","html-keyboard-response",1,10509,"0.0-1.0","NULL","NULL","NULL","NULL","jbqrjf90","Netscape","Apple Computer, Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15","Safari","14.1.2","WebKit",32,"OS X","10.14.6","OS X 10.14.6","Safari 14.1.2 on OS X 10.14.6","NULL",1,1,"NULL",-20,-19,5,0.03,-32,-48,1.2,-40,-50,1.2,1,0,0,0,0,1,9,3362
"1345","2021-12-06-13:51:23","NULL","html-keyboard-response",1,9021,"0.0-1.0","NULL","NULL","NULL","NULL","su35vwpn","Netscape","Google Inc.","Linux armv8l","Mozilla/5.0 (Linux; Android 10; 801SO) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.50 Mobile Safari/537.36","Chrome Mobile","95.0.4638.50","Blink",32,"Android","10","Android 10","Chrome Mobile 95.0.4638.50 on 801SO (Android 10)","801SO",2.2000002861023,1.9000000953674,"NULL",-18,-19,5,0,-42,-44,1,-40,-55,1.4,1.2,0,0,0,0,1,18.700000286102,3362
"1537","2021-12-06-14:22:24","NULL","html-keyboard-response",1,1299,"0.0-1.0","NULL","NULL","NULL","NULL","3seurnsm","Netscape","Google Inc.","Linux aarch64","Mozilla/5.0 (Linux; Android 11; SHV47) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36","Chrome Mobile","96.0.4664.45","Blink",32,"Android","11","Android 11","Chrome Mobile 96.0.4664.45 on SHV47 (Android 11)","SHV47",2.7999999970198,0.39999999850988,"NULL",-19,-20,5,0.03,-34,-42,1,-40,-50,1.2,1,0,0,0,0,1,7.5,3362
"1729","2021-12-06-14:41:33","NULL","html-keyboard-response",1,2920,"0.0-1.0","NULL","NULL","NULL","NULL","mfkhhm5j","Netscape","Google Inc.","MacIntel","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36","Chrome","96.0.4664.55","Blink",64,"OS X","10.13.6","OS X 10.13.6 64-bit","Chrome 96.0.4664.55 on OS X 10.13.6 64-bit","NULL",0.90000000223517,0,"NULL",-18,-19,4,0.04,-30,-50,1.2,-40,-50,1.2,1,0,0,0,0,1,7.5999999977648,3362
"1921","2021-12-06-15:22:08","NULL","html-keyboard-response",1,9290,"0.0-1.0","NULL","NULL","NULL","NULL","e030ytnf","Netscape","Google Inc.","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36","Chrome","96.0.4664.45","Blink",64,"Windows","10","Windows 10 64-bit","Chrome 96.0.4664.45 on Windows 10 64-bit","NULL",0.80000000074506,1,"NULL",-22,-19,5,0,-34,-50,1.2,-40,-45,1,0.8,0,0,0,0,1,13.10000000149,3362
"2113","2021-12-06-15:23:16","NULL","html-keyboard-response",1,1767,"0.0-1.0","NULL","NULL","NULL","NULL","6wswlhq7","Netscape","Google Inc.","Win32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36 Edg/96.0.1054.43","Microsoft Edge","96.0.1054.43","Blink",64,"Windows","10","Windows 10 64-bit","Microsoft Edge 96.0.1054.43 on Windows 10 64-bit","NULL",1.1999999992549,0.099999999627471,"NULL",-21,-19,5,0,-32,-44,1,-40,-50,1.2,0.8,0,0,0,0,1,12.400000000373,3362
