"","true_values","estimates","lower_values","upper_values"
"1",-20,-19.972972972973,-20.7528736331323,-19.1930723128136
"2",-20,-19.7837837837838,-20.099456661503,-19.4681109060646
"3",3,3.91891891891892,3.47174289217209,4.36609494566575
"4",0.02,0.0072972972972973,0.00309097025169091,0.0115036243429037
"5",-35,-34.7027027027027,-36.0748623824085,-33.3305430229969
"6",-50,-49.8378378378378,-51.5907227651396,-48.084952910536
"7",1.2,1.18918918918919,1.14217877296874,1.23619960540964
"8",-40,-40.9459459459459,-42.0460128706075,-39.8458790212844
"9",-50,-50.6756756756757,-52.0460094601219,-49.3053418912294
"10",1.2,1.21621621621622,1.16808300497959,1.26434942745284
"11",1,1.01081081081081,0.969387323196956,1.05223429842467
